,id_usuari,llibre_recomanat,score,any_naixement,Comedia,Historica,Romance,Ciencia_Ficcio,Ficcio,Fantasia,Ciencia,Creixement_personal,Autoajuda,Policiaca,Juvenil,Densa,Fluida,pagines_max,pref_adaptacio_peli_Si,pref_best_seller_Si,genere_persona_altres,genere_persona_dona,pref_sagues_Indiferent,pref_sagues_Si
47,19,Hacia_rutas_salvajes,5,2004,0,0,0,0,1,0,0,0,0,1,0,0,1,350,1,0,0,1,0,0
48,19,Las_Cuatro_Estaciones,5,2004,0,0,0,0,1,0,0,0,0,1,0,0,1,350,1,0,0,1,0,0
49,19,La_Sombra_del_Viento,5,2004,0,0,0,0,1,0,0,0,0,1,0,0,1,350,1,0,0,1,0,0
50,19,Normal_People,5,2004,0,0,0,0,1,0,0,0,0,1,0,0,1,350,1,0,0,1,0,0
51,20,Como_Agua_para_Chocolate,5,1973,0,1,1,0,0,1,0,0,0,1,0,1,1,250,1,0,0,1,1,0
52,20,La_Catedral_del_Mar,5,1973,0,1,1,0,0,1,0,0,0,1,0,1,1,250,1,0,0,1,1,0
53,20,La_Casa_de_los_Espiritus,5,1973,0,1,1,0,0,1,0,0,0,1,0,1,1,250,1,0,0,1,1,0
54,20,Mujercitas,5,1973,0,1,1,0,0,1,0,0,0,1,0,1,1,250,1,0,0,1,1,0
55,21,It_ends_with_us,5,2008,0,0,1,0,0,0,0,0,0,0,1,1,1,250,1,0,0,1,0,1
56,21,Perfectos_Mentirosos,5,2008,0,0,1,0,0,0,0,0,0,0,1,1,1,250,1,0,0,1,0,1
57,21,Todo_lo_que_nunca_fuimos,5,2008,0,0,1,0,0,0,0,0,0,0,1,1,1,250,1,0,0,1,0,1
58,22,Angeles_y_Demonios,5,1978,0,0,1,1,0,0,0,0,0,0,0,0,1,250,1,1,0,1,0,0
59,23,Las_48_leyes_del_poder,5,2003,0,0,0,1,0,1,0,1,0,0,0,1,1,350,1,0,0,0,0,0
60,23,El_juego_del_alma,5,2003,0,0,0,1,0,1,0,1,0,0,0,1,1,350,1,0,0,0,0,0
61,23,The_Art_of_War,5,2003,0,0,0,1,0,1,0,1,0,0,0,1,1,350,1,0,0,0,0,0
62,24,Voces_de_Chernobyl,5,1971,0,1,0,0,1,0,0,0,0,0,0,1,0,100000000,0,0,0,1,1,0
63,24,The_Diary_of_a_Young_Girl,5,1971,0,1,0,0,1,0,0,0,0,0,0,1,0,100000000,0,0,0,1,1,0
64,25,Sentit_i_Sensibilitat,5,1970,0,1,0,0,1,0,0,0,0,0,0,1,0,250,1,0,0,1,0,0
65,25,Hamlet,5,1970,0,1,0,0,1,0,0,0,0,0,0,1,0,250,1,0,0,1,0,0
66,25,Cien_anos_de_soledad,5,1970,0,1,0,0,1,0,0,0,0,0,0,1,0,250,1,0,0,1,0,0
67,25,Normal_People,5,1970,0,1,0,0,1,0,0,0,0,0,0,1,0,250,1,0,0,1,0,0
68,26,Harry_Potter_and_the_Philosophers_Stone,5,1973,0,0,1,1,0,0,0,0,0,0,0,0,1,150,1,0,0,1,0,1
69,26,50_sombras_de_grey,5,1973,0,0,1,1,0,0,0,0,0,0,0,0,1,150,1,0,0,1,0,1
70,27,Norwegian_Wood,5,1966,1,1,1,0,1,1,0,0,0,1,0,0,1,250,1,0,0,1,1,0
71,27,Sapiens_A_Brief_History_of_Humankind,5,1966,1,1,1,0,1,1,0,0,0,1,0,0,1,250,1,0,0,1,1,0
72,28,El_ocho,5,1964,1,0,0,0,1,0,0,0,0,0,0,0,1,100000000,1,0,0,1,0,0
73,28,El_Nino_del_Pijama_de_Rayas,5,1964,1,0,0,0,1,0,0,0,0,0,0,0,1,100000000,1,0,0,1,0,0
74,28,Cometas_en_el_Cielo,5,1964,1,0,0,0,1,0,0,0,0,0,0,0,1,100000000,1,0,0,1,0,0
75,29,La_Estrella_del_Diablo,5,1964,0,0,1,0,0,0,0,0,0,1,0,0,1,350,1,0,0,1,1,0
76,29,The_Snowman,5,1964,0,0,1,0,0,0,0,0,0,1,0,0,1,350,1,0,0,1,1,0
77,29,The_Bat,5,1964,0,0,1,0,0,0,0,0,0,1,0,0,1,350,1,0,0,1,1,0
78,30,Angeles_y_Demonios,5,1980,1,0,1,0,1,0,0,0,0,1,0,1,1,350,0,0,0,1,1,0
79,30,Este_dolor_no_es_mio,5,1980,1,0,1,0,1,0,0,0,0,1,0,1,1,350,0,0,0,1,1,0
80,30,El_Ultimo_Judio,5,1980,1,0,1,0,1,0,0,0,0,1,0,1,1,350,0,0,0,1,1,0
